BuildingType,PrimaryPropertyType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),PercentagePropertyGFABuildings,GFAperBuilding,GFAperFloor,LargestPropertyUseType,LargestPropertyUseTypeGFAPourcentage,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFAPourcentage,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFAPourcentage,ENERGYSTARScore,PercentageSteamUse(kBtu),PercentageElectricity(kBtu),SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,91,1,1,48789,0,48789,100.0,48789.0,48789.0,K-12 School,100.0,,,,,94.0,0.0,60.0,1419585.125,29.10000038,29.41,0.6
NonResidential,Senior Care Community,SOUTHEAST,50,1,2,48882,7233,41649,85.0,41649.0,20824.0,Senior Care Community,86.0,Parking,19.0,,,51.0,0.0,38.0,7048919.0,168.1000061,235.26,4.81
NonResidential,Warehouse,GREATER DUWAMISH,39,1,1,22320,0,22320,100.0,22320.0,22320.0,Non-Refrigerated Warehouse,100.0,,,,,62.0,0.0,95.0,462174.4063,20.70000076,3.06,0.14
NonResidential,Other,GREATER DUWAMISH,40,1,1,47105,0,47105,100.0,47105.0,47105.0,Manufacturing/Industrial Plant,96.0,,,,,,0.0,41.0,10234721.0,225.8000031,348.22,7.39
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,34,1,2,40029,0,40029,100.0,40029.0,20014.0,Office,79.0,Non-Refrigerated Warehouse,20.0,,,69.0,0.0,93.0,1575328.25,39.40000153,10.26,0.26
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,46,1,2,28304,0,28304,100.0,28304.0,14152.0,Office,96.0,,,,,67.0,0.0,96.0,1322894.5,48.70000076,8.85,0.31
NonResidential,Other,GREATER DUWAMISH,46,1,1,26400,0,26400,100.0,26400.0,26400.0,Other - Recreation,78.0,Non-Refrigerated Warehouse,27.0,,,,0.0,100.0,452612.5,16.29999924,3.16,0.12
NonResidential,Warehouse,GREATER DUWAMISH,48,1,1,27680,0,27680,100.0,27680.0,27680.0,Non-Refrigerated Warehouse,90.0,Office,10.0,,,,0.0,33.0,1918665.75,69.30000305,64.81,2.34
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,47,1,2,25872,0,25872,100.0,25872.0,12936.0,Office,90.0,Non-Refrigerated Warehouse,10.0,,,,0.0,57.0,1853911.875,71.69999695,45.79,1.77
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,47,1,2,25872,0,25872,100.0,25872.0,12936.0,Office,97.0,,,,,41.0,0.0,39.0,2498335.25,100.0,81.96,3.17
NonResidential,Warehouse,GREATER DUWAMISH,47,1,1,20500,0,20500,100.0,20500.0,20500.0,Non-Refrigerated Warehouse,104.0,,,,,65.0,0.0,100.0,222600.0938,10.39999962,1.55,0.08
NonResidential,Small- and Mid-Sized Office,LAKE UNION,58,1,2,21436,0,21436,100.0,21436.0,10718.0,Office,100.0,,,,,95.0,0.0,96.0,558727.875,26.10000038,3.73,0.17
NonResidential,Mixed Use Property,NORTHEAST,18,1,1,20233,0,20233,100.0,20233.0,20233.0,Office,36.0,Non-Refrigerated Warehouse,33.0,Other,31.0,,0.0,48.0,690322.6875,34.09999847,18.16,0.9
NonResidential,Small- and Mid-Sized Office,LAKE UNION,10,1,4,39926,12400,27526,69.0,27526.0,6882.0,Office,61.0,Parking,31.0,Retail Store,6.0,,0.0,82.0,1039085.375,37.70000076,14.49,0.36
NonResidential,Small- and Mid-Sized Office,LAKE UNION,31,1,3,31417,8110,23307,74.0,23307.0,7769.0,Office,84.0,Parking,41.0,,,94.0,0.0,57.0,1214408.75,46.20000076,28.09,0.89
NonResidential,Self-Storage Facility,DOWNTOWN,88,1,6,46580,0,46580,100.0,46580.0,7763.0,Self-Storage Facility,100.0,,,,,,0.0,91.0,778702.125,16.70000076,4.95,0.11
NonResidential,Retail Store,DOWNTOWN,100,1,2,25920,0,25920,100.0,25920.0,12960.0,Retail Store,100.0,,,,,5.0,0.0,100.0,478690.0938,18.5,3.34,0.13
NonResidential,Retail Store,DOWNTOWN,97,1,2,25920,0,25920,100.0,25920.0,12960.0,Retail Store,150.0,,,,,93.0,0.0,83.0,1046976.813,26.89999962,13.71,0.53
NonResidential,Hotel,DOWNTOWN,106,1,8,61721,0,61721,100.0,61721.0,7715.0,Hotel,100.0,,,,,93.0,0.0,85.0,2968429.75,53.5,36.92,0.6
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,97,1,2,25920,0,25920,100.0,25920.0,12960.0,Office,93.0,,,,,75.0,0.0,54.0,1945839.625,81.09999847,46.48,1.79
NonResidential,Small- and Mid-Sized Office,EAST,91,1,4,39760,0,39760,100.0,39760.0,9940.0,Office,100.0,,,,,92.0,63.0,19.0,2741556.25,69.0,149.91,3.77
NonResidential,Other,EAST,96,1,3,30971,0,30971,100.0,30971.0,10324.0,Other,100.0,,,,,,8.0,44.0,2974354.25,96.0,94.85,3.06
NonResidential,Small- and Mid-Sized Office,EAST,70,1,3,22667,0,22667,100.0,22667.0,7556.0,Office,100.0,,,,,1.0,40.0,48.0,4141811.25,182.6999969,148.55,6.55
NonResidential,Warehouse,LAKE UNION,89,1,2,33840,0,33840,100.0,33840.0,16920.0,Non-Refrigerated Warehouse,55.0,Office,40.0,Retail Store,4.0,,0.0,53.0,2339649.75,69.09999847,60.88,1.8
NonResidential,Small- and Mid-Sized Office,LAKE UNION,15,1,5,33740,6010,27730,82.0,27730.0,5546.0,Office,47.0,Retail Store,26.0,Parking,4.0,79.0,0.0,100.0,1291405.25,52.29999924,9.0,0.27
NonResidential,Retail Store,LAKE UNION,105,1,2,20516,0,20516,100.0,20516.0,10258.0,Retail Store,49.0,Hotel,39.0,,,98.0,0.0,24.0,1109483.125,61.09999847,42.04,2.05
NonResidential,Retail Store,LAKE UNION,110,1,3,27480,0,27480,100.0,27480.0,9160.0,Retail Store,81.0,Office,32.0,,,88.0,0.0,100.0,1215156.25,39.29999924,8.47,0.31
NonResidential,Mixed Use Property,LAKE UNION,69,1,1,46958,0,46958,100.0,46958.0,46958.0,Office,86.0,Parking,72.0,Bar/Nightclub,10.0,95.0,0.0,79.0,1818867.875,38.70000076,30.32,0.65
NonResidential,Distribution Center,LAKE UNION,32,1,1,26532,0,26532,100.0,26532.0,26532.0,Distribution Center,100.0,,,,,5.0,0.0,35.0,2261229.0,85.19999695,66.53,2.51
NonResidential,Small- and Mid-Sized Office,LAKE UNION,35,1,2,22388,0,22388,100.0,22388.0,11194.0,Office,88.0,Multifamily Housing,12.0,,,,0.0,76.0,605182.6875,27.0,9.46,0.42
NonResidential,Other,LAKE UNION,47,1,1,30730,0,30730,100.0,30730.0,30730.0,Other,100.0,,,,,,0.0,59.0,3269018.5,106.4000015,73.52,2.39
NonResidential,Small- and Mid-Sized Office,LAKE UNION,30,1,2,35600,0,35600,100.0,35600.0,17800.0,Office,103.0,Parking,0.0,,,47.0,0.0,96.0,2195095.5,59.59999847,18.34,0.52
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,67,1,3,62000,0,62000,100.0,62000.0,20667.0,Worship Facility,92.0,Other,8.0,,,81.0,0.0,13.0,2158433.5,34.70000076,82.34,1.33
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,35,1,2,23600,0,23600,100.0,23600.0,11800.0,Office,100.0,,,,,82.0,0.0,92.0,839316.3125,35.59999847,5.41,0.23
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,30,1,3,40067,0,40067,100.0,40067.0,13356.0,Office,100.0,,,,,43.0,0.0,100.0,2303732.75,57.5,16.06,0.4
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,27,1,3,26419,6922,19497,74.0,19497.0,6499.0,Office,100.0,,,,,67.0,0.0,100.0,1074989.0,40.70000076,7.49,0.28
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,37,1,3,25262,0,25262,100.0,25262.0,8421.0,Office,100.0,,,,,54.0,0.0,78.0,1508578.25,59.70000076,23.85,0.94
NonResidential,Other,LAKE UNION,20,1,3,53103,0,53103,100.0,53103.0,17701.0,Other,73.0,,,,,,0.0,98.0,4879644.0,126.0,38.12,0.72
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,36,1,3,34106,0,34106,100.0,34106.0,11369.0,Office,96.0,,,,,57.0,0.0,91.0,1785202.125,54.5,11.29,0.33
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,36,1,3,34545,0,34545,100.0,34545.0,11515.0,Office,100.0,,,,,29.0,0.0,100.0,2313978.75,67.0,16.13,0.47
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,36,1,3,70296,0,70296,100.0,70296.0,23432.0,Office,100.0,,,,,86.0,0.0,92.0,3018885.75,42.90000153,19.39,0.28
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,114,1,4,27838,0,27838,100.0,27838.0,6960.0,Office,100.0,,,,,77.0,0.0,96.0,1265151.625,45.40000153,8.49,0.3
NonResidential,Distribution Center,DELRIDGE,45,2,2,28368,0,28368,100.0,14184.0,7092.0,Distribution Center,124.0,Office,33.0,,,,0.0,77.0,1931830.75,43.20000076,30.02,1.06
NonResidential,Other,NORTHWEST,52,1,2,92080,0,92080,100.0,92080.0,46040.0,Other,100.0,,,,,,0.0,59.0,5368434.5,58.29999924,127.1,1.38
NonResidential,Other,NORTHWEST,55,1,1,20236,0,20236,100.0,20236.0,20236.0,Other - Recreation,100.0,,,,,,0.0,57.0,2089365.125,103.1999969,49.58,2.45
NonResidential,Small- and Mid-Sized Office,NORTHWEST,65,1,2,39815,0,39815,100.0,39815.0,19908.0,Office,68.0,Non-Refrigerated Warehouse,32.0,,,62.0,0.0,69.0,2158188.5,54.20000076,40.22,1.01
Nonresidential COS,Other,NORTHWEST,46,1,4,25557,0,25557,100.0,25557.0,6389.0,Residential Care Facility,100.0,,,,,,0.0,100.0,2280352.5,89.19999695,15.9,0.62
Nonresidential COS,Other,NORTHWEST,58,1,2,26994,0,26994,100.0,26994.0,13497.0,Other - Services,60.0,Office,40.0,,,,0.0,27.0,3320817.0,123.0,122.73,4.55
NonResidential,Warehouse,NORTHWEST,44,1,1,48112,0,48112,100.0,48112.0,48112.0,Non-Refrigerated Warehouse,100.0,,,,,73.0,0.0,102.0,1463960.0,30.39999962,10.36,0.22
NonResidential,Other,NORTHWEST,7,1,1,20909,0,20909,100.0,20909.0,20909.0,Other - Public Services,91.0,Parking,0.0,,,,0.0,52.0,1296995.0,68.09999847,32.86,1.57
NonResidential,Small- and Mid-Sized Office,NORTHWEST,15,1,2,42793,16518,26275,61.0,26275.0,13138.0,Office,61.0,Parking,39.0,,,27.0,0.0,95.0,1871245.75,71.19999695,12.35,0.29
NonResidential,Other,NORTHWEST,9,1,2,45000,0,45000,100.0,45000.0,22500.0,Other - Recreation,100.0,,,,,,0.0,49.0,6104259.5,135.6999969,176.79,3.93
NonResidential,Retail Store,NORTHWEST,18,1,1,26115,0,26115,100.0,26115.0,26115.0,Retail Store,100.0,,,,,43.0,0.0,65.0,1760626.0,67.40000153,36.74,1.41
NonResidential,Worship Facility,NORTHEAST,67,1,1,26033,0,26033,100.0,26033.0,26033.0,Worship Facility,115.0,Parking,0.0,,,78.0,0.0,25.0,1343672.875,44.70000076,45.33,1.74
NonResidential,K-12 School,MAGNOLIA / QUEEN ANNE,9,1,4,48660,0,48660,100.0,48660.0,12165.0,K-12 School,102.0,,,,,82.0,0.0,39.0,2115259.0,42.79999924,61.98,1.27
NonResidential,Senior Care Community,MAGNOLIA / QUEEN ANNE,46,1,2,46539,0,46539,100.0,46539.0,23270.0,Senior Care Community,100.0,,,,,73.0,0.0,41.0,5589312.5,120.0999985,180.38,3.88
NonResidential,Residence Hall,DOWNTOWN,107,1,4,29796,0,29796,100.0,29796.0,7449.0,Residence Hall/Dormitory,100.0,,,,,47.0,0.0,37.0,2309752.75,77.5,79.58,2.67
NonResidential,Retail Store,DOWNTOWN,96,1,2,26400,0,26400,100.0,26400.0,13200.0,Retail Store,55.0,Office,27.0,Parking,11.0,36.0,0.0,75.0,1013921.625,46.90000153,17.12,0.65
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,98,1,3,38148,0,38148,100.0,38148.0,12716.0,Office,99.0,Retail Store,33.0,,,98.0,0.0,100.0,1262255.75,25.10000038,8.8,0.23
NonResidential,Mixed Use Property,LAKE UNION,88,1,2,28800,0,28800,100.0,28800.0,14400.0,Non-Refrigerated Warehouse,50.0,Office,50.0,,,,0.0,48.0,521523.1875,18.10000038,12.77,0.44
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,61,1,5,31945,0,31945,100.0,31945.0,6389.0,Worship Facility,100.0,Parking,0.0,,,4.0,0.0,100.0,1806468.0,56.5,12.59,0.39
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,31,1,5,85963,33055,52908,62.0,52908.0,10582.0,Office,62.0,Parking,38.0,,,43.0,0.0,100.0,4480961.0,84.69999695,31.24,0.36
NonResidential,Retail Store,DOWNTOWN,116,1,4,34680,0,34680,100.0,34680.0,8670.0,Retail Store,100.0,,,,,92.0,0.0,62.0,1259828.25,36.29999924,26.38,0.76
NonResidential,Worship Facility,DOWNTOWN,48,1,3,75058,34510,40548,54.0,40548.0,13516.0,Worship Facility,100.0,,,,,24.0,0.0,17.0,6207115.5,82.69999695,247.97,3.3
NonResidential,Retail Store,DOWNTOWN,101,1,1,36504,0,36504,100.0,36504.0,36504.0,Retail Store,44.0,,,,,2.0,0.0,92.0,2147472.5,132.6000061,20.76,0.57
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,109,1,6,35200,0,35200,100.0,35200.0,5867.0,Office,100.0,,,,,8.0,0.0,100.0,2998208.25,85.19999695,20.9,0.59
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,109,1,5,35840,0,35840,100.0,35840.0,7168.0,Office,100.0,,,,,83.0,0.0,42.0,1724638.75,48.09999847,48.35,1.35
NonResidential,Other,DOWNTOWN,75,1,2,25920,0,25920,100.0,25920.0,12960.0,Bank Branch,90.0,,,,,60.0,0.0,98.0,1356947.75,58.40000153,9.3,0.36
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,88,1,4,30525,0,30525,100.0,30525.0,7631.0,Office,51.0,Retail Store,20.0,,,17.0,25.0,71.0,2991557.25,137.8000031,73.61,2.41
NonResidential,Other,EAST,52,1,4,49243,0,49243,100.0,49243.0,12311.0,Other/Specialty Hospital,106.0,,,,,,0.0,89.0,8491346.0,162.3999939,101.34,2.06
NonResidential,Other,EAST,104,1,3,20411,0,20411,100.0,20411.0,6804.0,Social/Meeting Hall,100.0,,,,,,0.0,36.0,2145049.5,105.0999985,71.23,3.49
NonResidential,Medical Office,EAST,54,1,2,30855,10285,20570,67.0,20570.0,10285.0,Medical Office,70.0,,,,,2.0,0.0,49.0,3129807.0,145.1000061,85.55,2.77
NonResidential,Small- and Mid-Sized Office,EAST,106,1,3,73549,0,73549,100.0,73549.0,24516.0,Office,57.0,Worship Facility,43.0,,,90.0,0.0,29.0,3209164.5,43.59999847,107.45,1.46
NonResidential,Other,EAST,28,1,5,45780,11400,34380,75.0,34380.0,6876.0,Other - Education,100.0,Parking,10.0,,,,47.0,46.0,11542708.0,252.1000061,462.4,10.1
NonResidential,Medical Office,EAST,53,1,3,39115,0,39115,100.0,39115.0,13038.0,Medical Office,128.0,,,,,42.0,0.0,78.0,3838425.0,76.80000305,60.04,1.53
NonResidential,Other,EAST,100,1,3,38038,0,38038,100.0,38038.0,12679.0,Other - Entertainment/Public Assembly,94.0,Office,3.0,Food Service,1.0,,54.0,34.0,1255324.0,33.5,55.61,1.46
NonResidential,Worship Facility,EAST,54,1,3,37796,0,37796,100.0,37796.0,12599.0,Worship Facility,140.0,Parking,47.0,,,55.0,50.0,32.0,2769792.0,52.29999924,123.41,3.27
Nonresidential COS,Small- and Mid-Sized Office,BALLARD,23,1,1,27744,0,27744,100.0,27744.0,27744.0,Office,66.0,Other,22.0,Data Center,12.0,,0.0,100.0,5355753.0,193.0,37.34,1.35
NonResidential,Warehouse,BALLARD,56,1,1,36444,0,36444,100.0,36444.0,36444.0,Non-Refrigerated Warehouse,100.0,,,,,80.0,0.0,95.0,169464.0938,4.599999905,1.12,0.03
NonResidential,Warehouse,BALLARD,66,1,1,27553,0,27553,100.0,27553.0,27553.0,Non-Refrigerated Warehouse,100.0,,,,,63.0,0.0,41.0,1054377.75,38.29999924,31.61,1.15
NonResidential,Distribution Center,BALLARD,65,3,1,57310,0,57310,100.0,19103.0,19103.0,Distribution Center,100.0,,,,,,0.0,49.0,1395637.75,24.39999962,34.87,0.61
NonResidential,Mixed Use Property,LAKE UNION,96,1,2,25920,0,25920,100.0,25920.0,12960.0,Office,39.0,Other - Services,27.0,Restaurant,14.0,,0.0,73.0,1071271.0,41.29999924,16.57,0.64
NonResidential,Restaurant,LAKE UNION,97,1,3,40686,0,40686,100.0,40686.0,13562.0,Restaurant,100.0,,,,,,0.0,38.0,2188575.25,53.79999924,73.0,1.79
NonResidential,Retail Store,LAKE UNION,52,1,2,45271,0,45271,100.0,45271.0,22636.0,Retail Store,100.0,,,,,57.0,0.0,39.0,2912179.5,64.30000305,82.72,1.83
NonResidential,Small- and Mid-Sized Office,LAKE UNION,96,1,3,28380,12180,16200,57.0,16200.0,5400.0,Office,100.0,,,,,62.0,0.0,53.0,1503529.375,53.0,35.77,1.26
NonResidential,Large Office,LAKE UNION,7,1,5,508160,0,508160,100.0,508160.0,101632.0,Office,65.0,Parking,32.0,Food Service,2.0,77.0,0.0,77.0,28053172.0,82.09999847,487.53,0.96
NonResidential,Small- and Mid-Sized Office,LAKE UNION,90,1,3,26176,0,26176,100.0,26176.0,8725.0,Office,91.0,,,,,95.0,0.0,39.0,1074761.125,45.29999924,32.09,1.23
NonResidential,Small- and Mid-Sized Office,LAKE UNION,90,1,1,37740,0,37740,100.0,37740.0,37740.0,Office,99.0,Parking,0.0,,,1.0,0.0,94.0,7419337.0,197.8999939,73.48,1.95
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,55,1,1,26000,0,26000,100.0,26000.0,26000.0,Other,192.0,,,,,,37.0,56.0,5719698.0,114.6999969,184.09,7.08
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,7,1,3,23241,0,23241,100.0,23241.0,7747.0,Worship Facility,100.0,,,,,66.0,0.0,51.0,789925.875,34.0,20.64,0.89
NonResidential,Other,MAGNOLIA / QUEEN ANNE,54,1,1,155795,0,155795,100.0,155795.0,155795.0,Other,100.0,,,,,,0.0,79.0,18847708.0,121.0,255.83,1.64
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,14,1,1,21018,0,21018,100.0,21018.0,21018.0,Other,100.0,,,,,,10.0,89.0,1789470.75,85.09999847,24.62,1.17
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,18,1,1,30533,0,30533,100.0,30533.0,30533.0,Museum,94.0,,,,,,0.0,42.0,6193701.5,216.3000031,192.12,6.29
NonResidential,Other,MAGNOLIA / QUEEN ANNE,55,1,2,33971,0,33971,100.0,33971.0,16986.0,Other - Recreation,147.0,,,,,,0.0,50.0,18163924.0,363.2999878,523.95,15.42
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,24,1,2,40600,0,40600,100.0,40600.0,20300.0,Other,81.0,,,,,,6.0,61.0,2470816.0,56.0,41.06,1.01
NonResidential,Small- and Mid-Sized Office,LAKE UNION,17,1,4,38038,0,38038,100.0,38038.0,9510.0,Office,100.0,Parking,52.0,,,84.0,0.0,98.0,2040142.0,53.59999847,13.97,0.37
NonResidential,Small- and Mid-Sized Office,LAKE UNION,9,1,4,64596,24596,40000,62.0,40000.0,10000.0,Office,64.0,Parking,33.0,,,92.0,0.0,45.0,2739358.75,65.90000153,77.8,1.2
NonResidential,Small- and Mid-Sized Office,LAKE UNION,88,1,3,41466,6062,35404,85.0,35404.0,11801.0,Office,85.0,Laboratory,12.0,Parking,3.0,1.0,0.0,60.0,9228577.0,228.3999939,234.03,5.64
NonResidential,Large Office,LAKE UNION,3,1,6,130710,100800,29910,23.0,29910.0,4985.0,Office,92.0,Parking,68.0,Bank Branch,4.0,92.0,0.0,90.0,7429423.0,56.79999924,86.51,0.66
NonResidential,Small- and Mid-Sized Office,LAKE UNION,90,1,4,35780,0,35780,100.0,35780.0,8945.0,Office,62.0,Retail Store,23.0,Parking,15.0,77.0,0.0,97.0,1979164.25,64.80000305,13.33,0.37
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,52,1,4,25132,7308,17824,71.0,17824.0,4456.0,Office,32.0,Parking,32.0,Restaurant,8.0,41.0,0.0,96.0,585965.6875,57.70000076,3.94,0.16
Nonresidential COS,Other,DOWNTOWN,50,1,1,49680,0,49680,100.0,49680.0,49680.0,Other,100.0,,,,,,49.0,45.0,2890473.75,58.20000076,119.34,2.4
Nonresidential COS,Other,DOWNTOWN,54,1,1,36314,0,36314,100.0,36314.0,36314.0,Other,100.0,,,,,,11.0,59.0,1882952.875,51.90000153,44.33,1.22
NonResidential,Other,DOWNTOWN,100,1,2,25920,0,25920,100.0,25920.0,12960.0,Other - Entertainment/Public Assembly,46.0,Restaurant,17.0,Retail Store,16.0,,0.0,102.0,1230670.25,60.79999924,8.77,0.34
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,97,1,4,47686,0,47686,100.0,47686.0,11922.0,Office,53.0,Retail Store,18.0,,,72.0,40.0,53.0,2223121.25,65.40000153,77.48,1.62
Campus,Mixed Use Property,DOWNTOWN,116,1,2,49280,0,49280,100.0,49280.0,24640.0,Retail Store,32.0,Restaurant,19.0,Social/Meeting Hall,17.0,,0.0,75.0,5469793.5,111.0,98.28,1.99
Campus,Restaurant,DOWNTOWN,104,1,2,25380,0,25380,100.0,25380.0,12690.0,Restaurant,67.0,Food Sales,25.0,Office,7.0,,0.0,47.0,6868711.5,270.6000061,218.79,8.62
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,101,1,6,40715,0,40715,100.0,40715.0,6786.0,Office,51.0,Retail Store,40.0,Non-Refrigerated Warehouse,9.0,,0.0,79.0,2877728.5,70.69999695,44.89,1.1
NonResidential,Mixed Use Property,DOWNTOWN,26,1,4,82065,34800,47265,58.0,47265.0,11816.0,Parking,44.0,Office,34.0,Retail Store,17.0,91.0,0.0,94.0,1818635.25,43.79999924,11.97,0.15
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,106,1,4,36160,0,36160,100.0,36160.0,9040.0,Office,100.0,,,,,47.0,0.0,97.0,1921962.0,53.20000076,12.98,0.36
NonResidential,Mixed Use Property,DOWNTOWN,98,1,1,34617,0,34617,100.0,34617.0,34617.0,Other - Restaurant/Bar,19.0,Office,17.0,Manufacturing/Industrial Plant,16.0,,0.0,55.0,5123179.0,148.0,143.34,4.14
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,107,1,5,66900,0,66900,100.0,66900.0,13380.0,Office,102.0,,,,,100.0,0.0,96.0,1634178.25,24.0,14.13,0.21
NonResidential,Mixed Use Property,DOWNTOWN,106,1,3,29340,0,29340,100.0,29340.0,9780.0,Office,43.0,Multifamily Housing,40.0,Restaurant,10.0,,0.0,35.0,2370772.25,87.30000305,75.99,2.59
NonResidential,Other,DOWNTOWN,86,1,2,22710,0,22710,100.0,22710.0,11355.0,Food Service,100.0,,,,,,0.0,100.0,287763.5,12.69999981,2.01,0.09
NonResidential,Small- and Mid-Sized Office,LAKE UNION,16,1,3,50499,13540,36959,73.0,36959.0,12320.0,Office,73.0,Parking,27.0,,,13.0,0.0,100.0,3205182.5,86.69999695,22.46,0.44
NonResidential,Small- and Mid-Sized Office,LAKE UNION,52,1,5,54465,9605,44860,82.0,44860.0,8972.0,Office,106.0,Parking,0.0,,,68.0,0.0,89.0,3658985.5,63.09999847,41.22,0.76
NonResidential,K-12 School,EAST,86,1,2,45960,0,45960,100.0,45960.0,22980.0,K-12 School,100.0,,,,,56.0,0.0,18.0,4711474.0,102.5,182.81,3.98
NonResidential,Small- and Mid-Sized Office,LAKE UNION,57,1,2,21128,0,21128,100.0,21128.0,10564.0,Office,100.0,,,,,97.0,0.0,100.0,436604.0938,20.70000076,3.04,0.14
NonResidential,Mixed Use Property,LAKE UNION,8,1,4,274442,0,274442,100.0,274442.0,68610.0,Hotel,40.0,Parking,38.0,Multifamily Housing,21.0,,0.0,61.0,9512996.0,56.29999924,220.26,0.8
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,1,3,51552,0,51552,100.0,51552.0,17184.0,Office,105.0,Data Center,1.0,,,,0.0,100.0,1539066.375,28.10000038,10.73,0.21
NonResidential,Hotel,LAKE UNION,57,1,4,38520,0,38520,100.0,38520.0,9630.0,Hotel,100.0,,,,,37.0,0.0,56.0,2874815.0,74.69999695,75.25,1.95
NonResidential,Hotel,LAKE UNION,55,1,3,29186,4256,24930,85.0,24930.0,8310.0,Hotel,65.0,,,,,95.0,0.0,40.0,867184.375,45.59999847,30.22,1.04
NonResidential,Worship Facility,LAKE UNION,56,1,1,27338,0,27338,100.0,27338.0,27338.0,Worship Facility,100.0,,,,,56.0,0.0,85.0,682542.8125,25.0,4.05,0.15
NonResidential,Other,EAST,17,1,2,85750,65640,20110,23.0,20110.0,10055.0,Parking,76.0,K-12 School,23.0,,,,0.0,29.0,2278550.5,113.9000015,77.76,0.91
NonResidential,Laboratory,MAGNOLIA / QUEEN ANNE,54,1,2,34416,0,34416,100.0,34416.0,17208.0,Laboratory,60.0,Office,40.0,Parking,6.0,,0.0,37.0,12512916.0,363.6000061,422.45,12.27
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,86,1,3,45864,0,45864,100.0,45864.0,15288.0,Office,100.0,,,,,94.0,0.0,16.0,3034554.5,66.19999695,115.43,2.52
NonResidential,K-12 School,NORTHWEST,17,1,2,49252,0,49252,100.0,49252.0,24626.0,K-12 School,124.0,,,,,23.0,0.0,45.0,3870672.5,63.40000153,104.91,2.13
NonResidential,Small- and Mid-Sized Office,LAKE UNION,29,1,3,33176,0,33176,100.0,33176.0,11059.0,Office,100.0,Parking,45.0,,,89.0,0.0,57.0,1513388.25,45.59999847,35.96,1.08
NonResidential,Retail Store,LAKE UNION,23,1,3,25194,3764,21430,85.0,21430.0,7143.0,Retail Store,43.0,Medical Office,32.0,Office,10.0,,0.0,48.0,1980961.25,92.40000153,55.95,2.22
NonResidential,Worship Facility,GREATER DUWAMISH,39,1,3,21948,0,21948,100.0,21948.0,7316.0,Worship Facility,100.0,,,,,80.0,0.0,100.0,326001.1875,14.89999962,2.27,0.1
NonResidential,Other,EAST,89,1,3,31191,0,31191,100.0,31191.0,10397.0,Other - Recreation,96.0,Self-Storage Facility,4.0,,,,0.0,52.0,6014124.0,192.8000031,167.98,5.39
NonResidential,Other,NORTH,69,1,1,37377,0,37377,100.0,37377.0,37377.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",84.0,Retail Store,9.0,Office,2.0,,0.0,31.0,3515178.25,98.69999695,111.73,2.99
NonResidential,Warehouse,GREATER DUWAMISH,39,1,1,29380,0,29380,100.0,29380.0,29380.0,Non-Refrigerated Warehouse,57.0,Office,23.0,Other,20.0,33.0,0.0,97.0,878933.3125,29.89999962,5.97,0.2
